State / Union Territory,Population,Area,Density,Gender Ratio
Uttar Pradesh,199812341,240928 km2 (93023 sq mi),828/km2 (2140/sq mi),912
Maharashtra,112374333,307713 km2 (118809 sq mi),365/km2 (950/sq mi),929
Bihar,104099452,94163 km2 (36357 sq mi),1102/km2 (2850/sq mi),918
West Bengal,91276115,88752 km2 (34267 sq mi),1029/km2 (2670/sq mi),953
Madhya Pradesh,72626809,308245 km2 (119014 sq mi),236/km2 (610/sq mi),931
Tamil Nadu,72147030,130058 km2 (50216 sq mi),555/km2 (1440/sq mi),996
Rajasthan,68548437,342239 km2 (132139 sq mi),201/km2 (520/sq mi),928
Karnataka,61095297,191791 km2 (74051 sq mi),319/km2 (830/sq mi),973
Gujarat,60439692,196024 km2 (75685 sq mi),308/km2 (800/sq mi),919
Andhra Pradesh,49577103,162968 km2 (62922 sq mi),303/km2 (780/sq mi),993
Odisha,41974218,155707 km2 (60119 sq mi),269/km2 (700/sq mi),979
Telengana,35003674,112077 km2 (43273 sq mi),312/km2 (810/sq mi),988
Kerala,33406061,38863 km2 (15005 sq mi),859/km2 (2220/sq mi),1084
Jharkhand,32988134,79714 km2 (30778 sq mi),414/km2 (1070/sq mi),948
Assam,31205576,78438 km2 (30285 sq mi),397/km2 (1030/sq mi),954
Punjab,27743338,50362 km2 (19445 sq mi),550/km2 (1400/sq mi),895
Chhattisgarh,25545198,135191 km2 (52198 sq mi),189/km2 (490/sq mi),991
Haryana,25351462,44212 km2 (17070 sq mi),573/km2 (1480/sq mi),879
Uttarakhand,10086292,53483 km2 (20650 sq mi),189/km2 (490/sq mi),963
Himachal Pradesh,6864602,55673 km2 (21495 sq mi),123/km2 (320/sq mi),972
Tripura,3673917,10486 km2 (4049 sq mi),350/km2 (910/sq mi),960
Meghalaya,2966889,22429 km2 (8660 sq mi),132/km2 (340/sq mi),989
Manipur,2570390,22327 km2 (8621 sq mi),122/km2 (320/sq mi),992
Nagaland,1978502,16579 km2 (6401 sq mi),119/km2 (310/sq mi),931
Goa,1458545,3702 km2 (1429 sq mi),394/km2 (1020/sq mi),973
Arunachal Pradesh,1383727,83743 km2 (32333 sq mi),17/km2 (44/sq mi),938
Mizoram,1097206,21081 km2 (8139 sq mi),52/km2 (130/sq mi),976
Sikkim,610577,7096 km2 (2740 sq mi),86/km2 (220/sq mi),890
Delhi,16787941,1484 km2 (573 sq mi),11297/km2 (29260/sq mi),868
Jammu and Kashmir,12267032,125535 km2 (48469 sq mi),98/km2 (250/sq mi),890
Puducherry,1247953,479 km2 (185 sq mi),2598/km2 (6730/sq mi),1037
Chandigarh,1055450,114 km2 (44 sq mi),9252/km2 (23960/sq mi),818
Dadra and Nagar Haveli and Daman and Diu,585764,603 km2 (233 sq mi),970/km2 (2500/sq mi),711
Andaman and Nicobar Islands,380581,8249 km2 (3185 sq mi),46/km2 (120/sq mi),876
Ladakh,274000,96701 km2 (37336 sq mi),2.8/km2 (7.3/sq mi),853
Lakshadweep,64473,32 km2 (12 sq mi),2013/km2 (5210/sq mi),946
